source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9679,org_units.unit_pk,departments.dept_id,0.9429
org_units,departments,0.9679,org_units.unit_title,departments.dept_name,0.936
org_units,departments,0.9679,org_units.site_fk,departments.dept_id,0.9837
org_units,departments,0.9679,org_units.unit_head,departments.dept_name,0.977
org_units,departments,0.9679,org_units.created_on,departments.created_at,1.0
staff,departments,0.9272,staff.staff_pk,departments.dept_id,0.8775
staff,departments,0.9272,staff.staff_fullname,departments.dept_name,0.9205
staff,departments,0.9272,staff.unit_fk,departments.dept_id,0.9225
staff,departments,0.9272,staff.role_name,departments.dept_name,0.9337
staff,departments,0.9272,staff.joining_date,employees.hire_date,0.9818
learning_records,trainings,0.8268,learning_records.learning_pk,trainings.emp_id,0.7348
learning_records,trainings,0.8268,learning_records.staff_fk,departments.dept_id,0.9069
learning_records,trainings,0.8268,learning_records.course_name,departments.dept_name,0.8899
learning_records,trainings,0.8268,learning_records.course_dt,employees.hire_date,0.8647
learning_records,trainings,0.8268,learning_records.completion_status,trainings.status,0.7379
site_master,locations,0.8106,site_master.site_pk,locations.location_id,0.75
site_master,locations,0.8106,site_master.site_title,departments.dept_name,0.8546
site_master,locations,0.8106,site_master.nation,locations.country,0.75
site_master,locations,0.8106,site_master.region,locations.state,0.75
site_master,locations,0.8106,site_master.created_on,departments.created_at,0.9482
event_log,incidents,0.7405,event_log.event_pk,incidents.incident_id,0.7327
event_log,incidents,0.7405,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7405,event_log.event_dt,incidents.incident_date,0.723
event_log,incidents,0.7405,event_log.event_category,incidents.incident_type,0.7466
event_log,incidents,0.7405,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7367,audit_checks.audit_pk,inspections.inspection_id,0.7321
audit_checks,inspections,0.7367,audit_checks.site_fk,inspections.inspection_id,0.75
audit_checks,inspections,0.7367,audit_checks.audit_dt,inspections.inspection_date,0.7089
audit_checks,inspections,0.7367,audit_checks.auditor,inspections.inspector_name,0.7445
audit_checks,inspections,0.7367,audit_checks.audit_score,inspections.score,0.7482
