source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9632,org_units.unit_pk,departments.dept_id,0.944
org_units,departments,0.9632,org_units.unit_title,departments.dept_name,0.9405
org_units,departments,0.9632,org_units.site_fk,departments.dept_id,0.9473
org_units,departments,0.9632,org_units.unit_head,departments.dept_name,0.9841
org_units,departments,0.9632,org_units.created_on,departments.created_at,1.0
staff,departments,0.9128,staff.staff_pk,departments.dept_id,0.8744
staff,departments,0.9128,staff.staff_fullname,departments.dept_name,0.9202
staff,departments,0.9128,staff.unit_fk,departments.dept_id,0.8957
staff,departments,0.9128,staff.role_name,departments.dept_name,0.8854
staff,departments,0.9128,staff.joining_date,employees.hire_date,0.9884
site_master,departments,0.8084,site_master.site_pk,locations.location_id,0.75
site_master,departments,0.8084,site_master.site_title,departments.dept_name,0.838
site_master,departments,0.8084,site_master.nation,departments.dept_name,0.7797
site_master,departments,0.8084,site_master.region,locations.location_name,0.7306
site_master,departments,0.8084,site_master.created_on,departments.created_at,0.9436
learning_records,trainings,0.7812,learning_records.learning_pk,trainings.training_id,0.75
learning_records,trainings,0.7812,learning_records.staff_fk,departments.dept_id,0.874
learning_records,trainings,0.7812,learning_records.course_name,trainings.training_name,0.6978
learning_records,trainings,0.7812,learning_records.course_dt,employees.hire_date,0.8749
learning_records,trainings,0.7812,learning_records.completion_status,trainings.status,0.7092
audit_checks,inspections,0.7656,audit_checks.audit_pk,inspections.inspection_id,0.75
audit_checks,inspections,0.7656,audit_checks.site_fk,inspections.location_id,0.75
audit_checks,inspections,0.7656,audit_checks.audit_dt,employees.hire_date,0.8471
audit_checks,inspections,0.7656,audit_checks.auditor,inspections.inspector_name,0.7481
audit_checks,inspections,0.7656,audit_checks.audit_score,inspections.score,0.7329
event_log,incidents,0.754,event_log.event_pk,incidents.incident_id,0.7387
event_log,incidents,0.754,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.754,event_log.event_dt,employees.hire_date,0.8151
event_log,incidents,0.754,event_log.event_category,incidents.incident_type,0.7161
event_log,incidents,0.754,event_log.risk_level,incidents.severity,0.75
