source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9701,org_units.unit_pk,departments.dept_id,0.9481
org_units,departments,0.9701,org_units.unit_title,departments.dept_name,0.9338
org_units,departments,0.9701,org_units.site_fk,departments.dept_id,0.9844
org_units,departments,0.9701,org_units.unit_head,departments.dept_name,0.9844
org_units,departments,0.9701,org_units.created_on,departments.created_at,1.0
staff,departments,0.9271,staff.staff_pk,departments.dept_id,0.8895
staff,departments,0.9271,staff.staff_fullname,departments.dept_name,0.92
staff,departments,0.9271,staff.unit_fk,departments.dept_id,0.927
staff,departments,0.9271,staff.role_name,departments.dept_name,0.9376
staff,departments,0.9271,staff.joining_date,employees.hire_date,0.9613
site_master,locations,0.8091,site_master.site_pk,locations.location_id,0.75
site_master,locations,0.8091,site_master.site_title,departments.dept_name,0.8503
site_master,locations,0.8091,site_master.nation,locations.country,0.75
site_master,locations,0.8091,site_master.region,locations.state,0.75
site_master,locations,0.8091,site_master.created_on,departments.created_at,0.945
learning_records,trainings,0.8074,learning_records.learning_pk,trainings.training_id,0.75
learning_records,trainings,0.8074,learning_records.staff_fk,departments.dept_id,0.882
learning_records,trainings,0.8074,learning_records.course_name,departments.dept_name,0.8289
learning_records,trainings,0.8074,learning_records.course_dt,employees.hire_date,0.8731
learning_records,trainings,0.8074,learning_records.completion_status,trainings.status,0.703
event_log,incidents,0.7545,event_log.event_pk,incidents.incident_id,0.7375
event_log,incidents,0.7545,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7545,event_log.event_dt,employees.hire_date,0.8091
event_log,incidents,0.7545,event_log.event_category,incidents.incident_type,0.7258
event_log,incidents,0.7545,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7477,audit_checks.audit_pk,inspections.inspection_id,0.75
audit_checks,inspections,0.7477,audit_checks.site_fk,inspections.location_id,0.75
audit_checks,inspections,0.7477,audit_checks.audit_dt,inspections.inspection_date,0.75
audit_checks,inspections,0.7477,audit_checks.auditor,inspections.inspector_name,0.7385
audit_checks,inspections,0.7477,audit_checks.audit_score,inspections.score,0.75
