source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9719,org_units.unit_pk,departments.dept_id,0.9467
org_units,departments,0.9719,org_units.unit_title,departments.dept_name,0.9513
org_units,departments,0.9719,org_units.site_fk,departments.dept_id,0.9922
org_units,departments,0.9719,org_units.unit_head,departments.dept_name,0.9694
org_units,departments,0.9719,org_units.created_on,departments.created_at,1.0
staff,departments,0.9262,staff.staff_pk,departments.dept_id,0.8857
staff,departments,0.9262,staff.staff_fullname,departments.dept_name,0.9024
staff,departments,0.9262,staff.unit_fk,departments.dept_id,0.939
staff,departments,0.9262,staff.role_name,departments.dept_name,0.9232
staff,departments,0.9262,staff.joining_date,employees.hire_date,0.9809
site_master,locations,0.8075,site_master.site_pk,locations.location_id,0.75
site_master,locations,0.8075,site_master.site_title,departments.dept_name,0.841
site_master,locations,0.8075,site_master.nation,locations.country,0.75
site_master,locations,0.8075,site_master.region,locations.state,0.75
site_master,locations,0.8075,site_master.created_on,departments.created_at,0.9465
learning_records,trainings,0.76,learning_records.learning_pk,trainings.emp_id,0.7392
learning_records,trainings,0.76,learning_records.staff_fk,departments.dept_id,0.8819
learning_records,trainings,0.76,learning_records.course_name,trainings.training_name,0.6926
learning_records,trainings,0.76,learning_records.course_dt,employees.hire_date,0.7624
learning_records,trainings,0.76,learning_records.completion_status,trainings.status,0.7238
event_log,incidents,0.7546,event_log.event_pk,incidents.incident_id,0.7393
event_log,incidents,0.7546,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7546,event_log.event_dt,employees.hire_date,0.8019
event_log,incidents,0.7546,event_log.event_category,incidents.incident_type,0.7317
event_log,incidents,0.7546,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7358,audit_checks.audit_pk,inspections.score,0.718
audit_checks,inspections,0.7358,audit_checks.site_fk,inspections.inspection_id,0.7475
audit_checks,inspections,0.7358,audit_checks.audit_dt,inspections.inspection_date,0.75
audit_checks,inspections,0.7358,audit_checks.auditor,inspections.inspector_name,0.7369
audit_checks,inspections,0.7358,audit_checks.audit_score,inspections.score,0.7267
